"Start Date","Home Team","Away Team"
"2024-03-10 00:00:00","Fluminense","Flamengo"
"2024-03-10 00:00:00","North Carolina","Charleston Battery"
"2024-03-10 00:00:00","Miami","Colorado Springs"
"2024-03-10 00:00:00","Greenville Triumph","Spokane Velocity"
"2024-03-10 00:00:00","Nacional Potosí","Independiente"
"2024-03-10 00:00:00","Lexington","Northern Colorado"
"2024-03-10 00:30:00","Rosario Central","Instituto"
"2024-03-10 00:30:00","Platense","San Lorenzo"
"2024-03-10 00:30:00","Atlanta United","New England"
"2024-03-10 00:30:00","Columbus Crew","Chicago Fire"
"2024-03-10 00:30:00","New York RB","Dallas"
"2024-03-10 00:30:00","Orlando City","Minnesota United"
"2024-03-10 00:30:00","Philadelphia Union","Seattle Sounders"
"2024-03-10 00:30:00","Tormenta","Central Valley Fuego"
"2024-03-10 00:30:00","Quilmes","Arsenal"
"2024-03-10 01:00:00","Pachuca","Querétaro"
"2024-03-10 01:00:00","Santos Laguna","Cruz Azul"
"2024-03-10 01:00:00","Guadalupe","Cariari Pococí"
"2024-03-10 01:00:00","Alianza Lima","Sporting Cristal"
"2024-03-10 01:30:00","Deportes Tolima","Independiente Medellín"
"2024-03-10 01:30:00","San Antonio","Loudoun United"
"2024-03-10 01:30:00","Austin","St. Louis City"
"2024-03-10 02:00:00","Malacateco","Comunicaciones"
"2024-03-10 02:00:00","El Paso Locomotive","Hartford Athletic"
"2024-03-10 02:00:00","Sacachispas","Mictlán"
"2024-03-10 02:00:00","Herediano","Sporting San José"
"2024-03-10 02:30:00","Phoenix Rising","Birmingham Legion"
"2024-03-10 02:30:00","Real Salt Lake","Colorado Rapids"
"2024-03-10 03:00:00","América","Tigres UANL"
"2024-03-10 03:00:00","Oakland Roots","Indy Eleven"
"2024-03-10 03:00:00","Sacramento Republic","Orange County SC"
"2024-03-10 03:30:00","Los Angeles","Sporting KC"
"2024-03-10 03:30:00","SJ Earthquakes","Vancouver Whitecaps"
"2024-03-10 04:00:00","Albirex Niigata","Tokyo Verdy Beleza"
"2024-03-10 04:00:00","Rayluck Shiga","Tochigi City"
"2024-03-10 04:00:00","Criacao Shinjuku","Okinawa SV"
"2024-03-10 04:00:00","Urayasu","Maruyasu Okazaki"
